"party","lemma","n","log_odds_weighted"
"ANO","trvat",2,6.13050952992179
"ANO","třeba",2,11.4456721195267
"ANO","turboočkování",2,4.20591702891659
"ANO","Turboočkování",1,2.97400188785464
"ANO","Twitter",1,6.04367087772581
"ANO","týden",3,11.577109201734
"ANO","typ",1,7.04978605779483
"ANO","učinit",2,7.36263829997155
"ANO","učit",1,4.29184371220638
"ANO","učitel",3,7.14432795905739
"ANO","učitelka",1,3.24831160591393
"ANO","učňovský",2,4.20591702891659
"ANO","udělat",3,9.49861444059269
"ANO","udělení",2,4.20591702891659
"ANO","udělit",1,4.83544011194906
"ANO","ukázat",1,9.0999609939494
"ANO","úkol",1,4.333392166906
"ANO","ukončit",1,7.5097787927834
"ANO","unavený",1,3.53449121414974
"ANO","unie",4,14.6521825259914
"ANO","univerzum",3,5.15122825155067
"ANO","úprava",1,7.44386565339936
"ANO","upravený",1,3.22563378155205
"ANO","upravit",1,4.70175722984054
"ANO","určitý",1,8.0450821088488
"ANO","úřední",4,6.64968516236284
"ANO","usilovat",2,6.33767204183473
"ANO","úspěšně",2,4.32375041407137
"ANO","úspěšný",1,4.48019082648838
"ANO","uzda",1,2.97400188785464
"ANO","už",1,17.6972056742919
"ANO","vakcína",5,11.9063808804999
"ANO","vážený",2,7.44345442648963
"ANO","včerejšek",1,2.97400188785464
"ANO","včetně",1,6.04180740662573
"ANO","vědět",4,11.8704715306281
"ANO","vědomý",1,3.59961285711142
"ANO","věkový",1,3.80273903909386
"ANO","velice",2,4.15248323222651
"ANO","velmi",2,8.73293388124068
"ANO","ventilátor",1,4.25997801741684
"ANO","veřejnost",1,9.85657754618625
"ANO","věřit",3,7.83023115153444
"ANO","video",2,5.23464493874198
"ANO","vláda",3,30.121730625226
"ANO","vládní",1,13.3011273673641
"ANO","volič",1,5.87683561282466
"ANO","volný",1,6.38005252278512
"ANO","vyčerpání",1,6.66545079169652
"ANO","vyhlásit",2,5.23464493874198
"ANO","vycházení",1,4.55626828530465
"ANO","vyjádření",1,9.59828845337023
"ANO","vyjádřit",1,5.34510511231969
"ANO","výsledný",2,4.27818534861517
"ANO","vysvětlení",1,5.82182416786862
"ANO","výuka",1,9.02070029199957
"ANO","vyvolávat",1,4.07184382222147
"ANO","výzva",1,4.06522382140907
"ANO","vzdělávání",2,6.61216754799741
"ANO","vzít",1,6.43880029225954
"ANO","vzrůst",1,6.74784234145517
"ANO","vždycky",1,4.63596631340007
"ANO","zahodit",1,10.3802210616376
"ANO","zájem",1,12.1781546274443
"ANO","Zajíček",1,2.97400188785464
"ANO","zákaz",1,9.13914418086054
"ANO","základ",3,11.2161651838987
"ANO","základní",2,9.45394509646397
"ANO","zákon",1,22.6639398997388
"ANO","zaměření",1,3.24831160591393
"ANO","zápočet",1,2.97400188785464
"ANO","zaregistrovat",3,5.12006722837281
"ANO","září",1,6.51391344916085
"ANO","zásada",1,6.51391344916085
"ANO","zásoba",1,5.19019375968805
"ANO","zaštiťovat",1,2.97400188785464
"ANO","zatím",2,5.75035393138441
"ANO","zavedení",1,8.30902516492657
"ANO","závěr",1,5.84100153400823
"ANO","závěrečný",5,6.78348620898665
"ANO","zavést",1,7.06065556570938
"ANO","zdravotnický",2,6.22454971575253
"ANO","zdravotnictví",3,11.577109201734
"ANO","zdravotník",1,5.44441715995923
"ANO","země",5,19.539411373486
"ANO","zemřít",1,7.40570307905396
"ANO","zítra",1,3.79508273615344
"ANO","zkouška",11,7.52007814472123
"ANO","změna",1,10.0019598824733
"ANO","znamenat",1,11.0681458749591
"ANO","známka",3,5.62656804232473
"ANO","zodpovědně",1,3.82300080785591
"ANO","zodpovědný",1,4.70175722984054
"ANO","zrušený",1,4.18916108346142
"ANO","zřejmě",1,5.51971027179291
"ANO","zřizovatel",1,3.23532074922995
"ANO","zvednout",1,3.89542307065614
"ANO","zvládnout",3,7.17782832324376
"ANO","žádost",2,7.44345442648963
"ANO","žák",5,9.7404741007547
"ANO","žert",1,3.22563378155205
"ANO","život",4,12.5452911958659
"Civic Democrats (ODS)","️",1,2.2765228104364
"Civic Democrats (ODS)","!🤝",1,1.75324420158532
"Civic Democrats (ODS)","“Zelňáku”",1,2.11084294272869
"Civic Democrats (ODS)","%",25,0.0554136258820712
"Civic Democrats (ODS)","+",2,1.8302195827225
"Civic Democrats (ODS)","☹️",1,2.11084294272869
"Civic Democrats (ODS)","☺",1,2.11084294272869
"Civic Democrats (ODS)","🇨🇿",2,1.91598270188432
"Civic Democrats (ODS)","🇨🇿✌️",1,2.11084294272869
"Civic Democrats (ODS)","🇮🇱",1,2.11084294272869
"Civic Democrats (ODS)","✌️",3,3.30506549643562
"Civic Democrats (ODS)","✌️🇨🇿",1,2.11084294272869
"Civic Democrats (ODS)","❗Podpořit",1,2.11084294272869
"Civic Democrats (ODS)","❗Vysvětlit",1,2.11084294272869
"Civic Democrats (ODS)","❗Zajistit",2,2.98519960502579
"Civic Democrats (ODS)","❤️",2,2.41609430377103
"Civic Democrats (ODS)","👉",21,3.59408850291241
"Civic Democrats (ODS)","👍",7,2.08298555429168
"Civic Democrats (ODS)","👏",3,1.90131661617497
"Civic Democrats (ODS)","💙",3,3.38573035766175
"Civic Democrats (ODS)","💪",2,1.14815972225484
"Civic Democrats (ODS)","📍",14,7.89863197955205
"Civic Democrats (ODS)","🔥",2,2.98519960502579
"Civic Democrats (ODS)","🤜🤛Va",1,2.11084294272869
"Civic Democrats (ODS)","🤝",1,2.32175643895002
"Civic Democrats (ODS)","🤦‍♂️",1,2.11084294272869
"Civic Democrats (ODS)","🤷‍♂️",1,2.11084294272869
"Civic Democrats (ODS)","😀",1,2.11084294272869
"Civic Democrats (ODS)","😉",5,3.44068626253282
"Civic Democrats (ODS)","😊",2,1.60217142677371
"Civic Democrats (ODS)","🙂",1,0.959925230452706
"Civic Democrats (ODS)","🙈",1,2.11084294272869
"Civic Democrats (ODS)","￼",1,2.11084294272869
"Civic Democrats (ODS)","21.stolet",1,2.11084294272869
"Civic Democrats (ODS)","A.Babe",1,2.11084294272869
"Civic Democrats (ODS)","abdikovat",1,2.11084294272869
"Civic Democrats (ODS)","absolutní",1,2.14047582131798
"Civic Democrats (ODS)","absolventský",1,2.00492952641703
"Civic Democrats (ODS)","absolvování",1,2.16319855749559
"Civic Democrats (ODS)","absolvovat",1,2.49207677592283
"Civic Democrats (ODS)","absurdní",2,1.17003632379631
"Civic Democrats (ODS)","Adam",1,2.50841619402164
"Civic Democrats (ODS)","Adamec",1,2.11084294272869
"Civic Democrats (ODS)","Adamová",1,1.686855394062
"Civic Democrats (ODS)","adekvátný",1,2.00492952641703
"Civic Democrats (ODS)","administrativa",1,2.8911120847938
"Civic Democrats (ODS)","administrativně",1,2.00492952641703
"Civic Democrats (ODS)","administrativní",1,1.50401611207167
"Civic Democrats (ODS)","aféra",1,2.00492952641703
"Civic Democrats (ODS)","agenda",5,2.5740759268885
"Civic Democrats (ODS)","agent",4,3.4608633062249
"Civic Democrats (ODS)","agentura",2,1.43804199036604
"Civic Democrats (ODS)","aglomerace",1,2.11084294272869
"Civic Democrats (ODS)","agresívní",1,1.56180075297069
"Civic Democrats (ODS)","akademický”",1,2.11084294272869
"Civic Democrats (ODS)","akce",5,1.82023317514321
"Civic Democrats (ODS)","akceptovatelný",1,2.47299212738646
"Civic Democrats (ODS)","akt",2,3.70331593188893
"Civic Democrats (ODS)","aktivita",4,2.34697211725189
"Civic Democrats (ODS)","aktivně",3,0.591164535811543
"Civic Democrats (ODS)","aktivní",6,1.92240066316258
"Civic Democrats (ODS)","aktualizovat",1,1.75324420158532
"Civic Democrats (ODS)","aktuální",1,-0.55981226660771
"Civic Democrats (ODS)","alej",1,2.47299212738646
"Civic Democrats (ODS)","alespoň",1,1.24231388156772
"Civic Democrats (ODS)","aliance",1,1.56180075297069
"Civic Democrats (ODS)","alternativa",1,0.994200185876615
"Civic Democrats (ODS)","amatérsky",1,2.11084294272869
"Civic Democrats (ODS)","ambasáda",2,2.25013601261266
"Civic Democrats (ODS)","Andrej",12,1.37498801726062
"Civic Democrats (ODS)","angažovat",1,2.32175643895002
"Civic Democrats (ODS)","anglický",1,2.04560556081995
"Civic Democrats (ODS)","anketa",1,2.00492952641703
"Civic Democrats (ODS)","antibyrokratický",1,2.11084294272869
"Civic Democrats (ODS)","antický",2,2.36055431000245
"Civic Democrats (ODS)","AntiCovid",2,2.36055431000245
"Civic Democrats (ODS)","antigenní",3,1.98445453992281
"Civic Democrats (ODS)","Antivirus",1,1.84687409813666
"Civic Democrats (ODS)","armáda",1,1.44420575731299
"Civic Democrats (ODS)","Arménie",1,2.00492952641703
"Civic Democrats (ODS)","asociace",1,3.06936810515418
"Civic Democrats (ODS)","aspoň",1,2.65262426298078
"Civic Democrats (ODS)","astronomický",2,3.70331593188893
"Civic Democrats (ODS)","atd",1,3.52964840563641
"Civic Democrats (ODS)","atentát",1,2.11084294272869
"Civic Democrats (ODS)","atmosféra",1,1.20271531311811
"Civic Democrats (ODS)","atp",1,2.00492952641703
"Civic Democrats (ODS)","aukce",1,2.00492952641703
"Civic Democrats (ODS)","autorita",2,2.04939813399482
"Civic Democrats (ODS)","autoritářský",1,2.11084294272869
"Civic Democrats (ODS)","autoritativní",1,2.11084294272869
"Civic Democrats (ODS)","azylový",1,3.69954261255438
"Civic Democrats (ODS)","aždý",1,2.11084294272869
"Civic Democrats (ODS)","Babiš",14,-0.408597597544691
"Civic Democrats (ODS)","Babiš“",1,2.00492952641703
"Civic Democrats (ODS)","Babišův",2,6.59355089955048
"Civic Democrats (ODS)","banka",1,1.66128400081088
"Civic Democrats (ODS)","bankovnictví",1,2.16319855749559
"Civic Democrats (ODS)","bát",3,1.57562205217706
"Civic Democrats (ODS)","Bauer",1,2.11084294272869
"Civic Democrats (ODS)","bavit",3,1.94207384692591
"Civic Democrats (ODS)","Baxa",2,2.98519960502579
"Civic Democrats (ODS)","Bečv",1,1.84972293529157
"Civic Democrats (ODS)","Bečva",8,3.20501539872928
"Civic Democrats (ODS)","běh",1,2.11084294272869
"Civic Democrats (ODS)","Bělorusko",1,2.16319855749559
"Civic Democrats (ODS)","běloruský",3,3.30506549643562
"Civic Democrats (ODS)","Bendl",1,2.11084294272869
